Rank,Name,Channel Info,Category,Posts,Followers,Avg. Likes,Eng Rate
158,marinaruybarbosa,female,entertainment,2100,41200000,2120,0.006
159,agustd,,,83000,41200000,83000,0.253
160,princessyahrini,female,entertainment,4600,41200000,4570,0.001
161,jenniferaniston,female,entertainment,110000,41100000,110000,0.057999999999999996
162,worldstar,community,entertainment,101800,41000000,101810,0.001
163,andresiniesta8,male,"Health, Sports & Fitness",2100,40800000,2090,0.004
164,natashawilona12,female,entertainment,1200,40500000,1240,0.008
165,rkive,male,entertainment,120000,40300000,120000,0.153
166,mahi7781,male,"Health, Sports & Fitness",107000,40100000,107000,0.109
167,liverpoolfc,community,"Health, Sports & Fitness",20500,39900000,20460,0.005
168,prattprattpratt,male,entertainment,753000,39900000,753000,0.011000000000000001
169,addisonraee,male,entertainment,325000,39500000,325000,0.05
170,wizkhalifa,male,entertainment,37000,39400000,37000,0.008
171,parineetichopra,female,entertainment,1400,39200000,1350,0.009000000000000001
172,anushkasen0408,female,entertainment,5500,39000000,5470,0.015
173,chrissyteigen,female,entertainment,5100,38600000,5110,0.006999999999999999
174,hm,brand,fashion,7500,38500000,7480,0.001
175,wesleysafadao,male,entertainment,9000,38300000,9020,0.003
176,marvelstudios,community,entertainment,2800,38200000,2810,0.013000000000000001
177,houseofhighlights,male,"Health, Sports & Fitness",26900,37900000,26920,0.008
178,tyga,,entertainment,27000,37700000,27000,0.017
179,eminem,male,entertainment,721000,37600000,721000,0.024
180,sachintendulkar,male,"Health, Sports & Fitness",1100,37500000,1070,0.017
181,danialves,male,"Health, Sports & Fitness",3400,37400000,3400,0.008
182,gisel_la,female,entertainment,10200,37400000,10170,0.002
183,blakelively,male,entertainment,121000,37000000,121000,0.055999999999999994
184,chelseafc,community,"Health, Sports & Fitness",17300,36600000,17290,0.006
185,shahidkapoor,male,entertainment,1200,36600000,1180,0.024
186,kimberly.loaiza,female,entertainment,578000,36600000,578000,0.044000000000000004
187,toni.kr8s,male,"Health, Sports & Fitness",1000,36600000,970,0.012
188,antogriezmann,male,"Health, Sports & Fitness",872000,36400000,872000,0.018000000000000002
189,mercedesbenz,brand,technology,18500,36400000,18480,0.003
190,nattinatasha,female,entertainment,54000,36100000,54000,0.013000000000000001
191,tigerjackieshroff,male,entertainment,2200,36100000,2170,0.019
192,lunamaya,female,entertainment,4200,36100000,4170,0.002
193,mancity,male,"Health, Sports & Fitness",19600,36000000,19560,0.004
194,disney,brand,entertainment,7700,35800000,7700,0.003
195,barackobama,male,News & Politics,743000,35500000,743000,0.017
196,fcbayern,male,"Health, Sports & Fitness",16800,35400000,16780,0.006
197,colesprouse,male,entertainment,1100,35300000,1140,0.035
198,shaymitchell,male,entertainment,6300,35100000,6310,0.012
199,ivetesangalo,female,entertainment,7800,35000000,7770,0.004
200,paollaoliveirareal,female,entertainment,4800,34900000,4780,0.006999999999999999
